SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2020,Wake Forest,ACC,31,13,108.8,101.6,0.6877,49.0,49.7,19.7,15.2,28.6,26.0,41.0,35.2,47.3,49.5,35.1,33.3,70.0,-6.0,,
2020,Miami FL,ACC,31,15,107.2,100.2,0.6853,48.8,50.2,17.2,17.6,26.0,31.9,28.1,22.9,49.5,49.8,31.7,33.9,68.2,-3.3,,
2020,Mississippi,SEC,32,15,103.0,96.5,0.6783,48.6,47.7,18.9,19.6,26.4,27.8,36.8,40.7,48.9,49.7,31.9,29.2,67.9,-5.5,,
2020,Stephen F. Austin,Slnd,28,28,103.4,96.9,0.6781,53.3,49.6,23.6,27.8,37.3,26.8,44.0,44.6,52.3,48.4,37.4,34.4,71.9,1.4,,
2020,Hofstra,CAA,33,26,108.9,102.5,0.6663,51.7,50.3,16.5,19.8,29.8,29.5,34.3,20.2,49.0,52.8,37.4,30.7,68.0,-2.7,,
2020,UCF,Amer,30,16,104.2,98.2,0.6661,49.4,47.8,19.9,20.6,28.8,30.5,30.9,29.4,49.9,48.0,32.3,31.7,67.8,-5.3,,
2020,Ball St.,MAC,30,18,99.5,93.7,0.665,50.5,45.7,19.5,19.6,25.4,25.1,30.9,28.5,50.6,45.0,33.5,31.4,67.8,-7.3,,
2020,Bradley,MVC,33,23,106.6,100.5,0.6631,49.5,46.4,17.2,17.9,31.5,25.9,32.3,31.2,46.6,45.6,37.1,31.7,66.9,-4.1,,
2020,South Florida,Amer,31,14,100.6,95.0,0.6595,46.6,51.0,22.2,23.3,32.4,25.2,37.5,34.5,46.7,51.6,30.9,33.4,64.9,-7.3,,
2020,Indiana St.,MVC,29,18,105.8,100.0,0.6586,51.7,50.6,16.9,19.1,23.6,25.7,32.3,33.5,49.3,52.3,37.5,31.8,66.4,-4.2,,
2020,Utah,P12,31,16,106.1,100.2,0.6573,51.3,50.3,19.7,17.7,29.0,26.9,35.8,23.0,52.0,48.9,33.4,35.2,66.8,-3.1,,
2020,Harvard,Ivy,28,21,104.5,98.8,0.6555,51.2,47.3,19.7,17.6,30.0,25.0,32.6,31.4,52.4,45.5,32.8,33.7,68.8,-2.0,,
2020,Colorado St.,MWC,31,20,108.7,103.0,0.649,53.9,51.6,18.6,17.6,26.3,23.8,39.2,24.1,53.0,51.5,36.9,34.4,69.3,-3.3,,
2020,UC Irvine,BW,30,21,104.9,99.4,0.6485,51.6,44.9,20.2,16.4,34.1,25.3,28.0,36.0,50.8,40.8,35.6,35.6,67.8,-5.5,,
2020,Pacific,WCC,31,23,103.5,98.2,0.6474,49.5,48.1,18.2,18.1,33.0,21.3,34.0,41.6,48.9,46.3,34.1,34.3,64.8,-2.8,,
2020,Northwestern,B10,31,8,105.4,100.0,0.6469,46.9,49.2,15.6,15.8,22.0,29.3,25.8,28.6,46.9,47.9,31.2,34.0,66.5,-9.0,,
2020,Western Kentucky,CUSA,29,20,108.5,103.1,0.6438,51.2,50.2,17.7,19.3,25.5,31.1,39.6,21.0,52.0,53.5,33.3,30.0,68.3,-3.2,,
2020,Virginia Tech,ACC,32,16,103.3,98.1,0.6429,50.3,48.5,14.6,17.6,21.0,25.5,22.9,26.1,48.1,48.6,35.2,32.2,65.4,-4.1,,
2020,Washington St.,P12,32,16,102.2,97.4,0.6355,45.8,49.9,17.2,20.9,27.8,26.0,30.7,32.3,45.5,51.2,30.9,31.5,70.6,-5.7,,
2020,Missouri St.,MVC,33,16,104.7,99.8,0.6348,49.8,49.6,19.7,18.2,31.9,22.7,28.7,33.2,48.1,49.0,35.4,33.8,68.0,-9.0,,
2020,Northeastern,CAA,33,17,105.9,101.2,0.6272,54.8,51.7,17.9,19.8,24.4,24.2,25.6,30.6,54.3,53.2,37.1,32.9,66.0,-10.7,,
2020,Wright St.,Horz,30,25,105.0,100.4,0.6245,51.0,46.5,16.6,18.9,31.9,29.4,37.8,27.1,49.9,47.3,35.5,30.0,72.0,-3.6,,
2020,Pittsburgh,ACC,33,16,103.2,98.8,0.6225,45.1,49.8,18.4,23.3,32.8,34.5,35.1,26.0,45.5,49.0,29.6,33.9,65.3,-4.8,,
