SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2024,Coastal Carolina,SB,29,9,98.3,111.0,0.198,49.4,50.1,19.1,12.7,29.3,30.5,32.5,29.5,50.0,50.6,32.1,33.0,69.3,-17.6,,
2024,South Dakota,Sum,29,12,103.0,116.4,0.1978,51.9,53.1,18.3,11.7,27.5,28.6,30.5,27.3,49.6,52.3,37.6,36.2,68.8,-16.4,,
2024,Robert Morris,Horz,30,10,99.8,112.9,0.1942,50.3,53.3,20.0,15.8,33.2,29.5,28.0,36.8,50.0,54.3,33.8,34.3,67.0,-17.2,,
2024,Northern Arizona,BSky,33,14,97.8,110.8,0.1914,49.3,52.9,18.1,16.7,24.1,31.1,31.1,37.4,50.7,55.4,31.2,32.0,68.2,-13.5,,
2024,Western Michigan,MAC,31,12,97.9,111.0,0.1905,48.7,50.9,19.7,15.5,33.7,29.6,31.5,31.5,48.4,50.8,32.8,34.1,68.4,-15.1,,
2024,Northwestern St.,Slnd,30,9,97.1,110.5,0.1837,47.7,51.9,19.3,18.5,29.8,34.1,36.7,41.4,48.0,53.8,31.3,32.6,67.5,-18.3,,
2024,Eastern Illinois,OVC,28,14,95.2,108.6,0.1812,44.8,52.0,15.7,19.7,27.5,28.0,27.2,37.5,43.6,51.1,31.8,35.8,66.5,-13.1,,
2024,Charleston Southern,BSth,27,10,93.6,106.8,0.1802,45.2,50.9,18.1,13.4,27.0,29.0,31.2,33.5,44.1,52.3,31.4,31.9,66.7,-14.1,,
2024,Alabama St.,SWAC,29,13,91.7,104.9,0.176,41.0,49.1,16.3,20.0,31.7,29.1,28.5,43.4,40.4,47.6,28.0,34.1,67.1,-13.8,,
2024,Lafayette,Pat,31,11,93.1,106.5,0.1758,46.9,48.5,17.5,17.4,24.2,29.1,23.9,31.5,47.0,46.6,31.2,34.3,65.2,-16.9,,
2024,Eastern Michigan,MAC,29,13,96.0,110.4,0.1672,47.9,52.0,17.0,15.7,27.6,31.2,25.0,31.5,48.7,54.7,30.8,31.9,65.3,-14.0,,
2024,Southern Indiana,OVC,29,8,96.4,111.7,0.1552,45.6,49.5,19.4,16.6,27.0,28.5,37.6,48.6,44.5,49.3,31.6,33.3,69.0,-19.2,,
2024,NJIT,AE,27,7,97.4,113.1,0.1515,44.6,52.4,16.4,16.6,28.3,32.9,31.2,39.7,44.7,52.3,29.6,35.0,66.4,-16.7,,
2024,Navy,Pat,30,13,95.7,111.2,0.1507,44.0,50.3,15.6,20.5,31.8,30.8,34.8,35.7,43.8,50.9,29.6,32.9,65.4,-15.3,,
2024,Hampton,CAA,30,9,95.4,111.2,0.1462,46.7,51.6,17.9,15.0,27.9,31.9,29.4,29.9,46.9,52.1,30.9,33.9,69.7,-20.0,,
2024,New Orleans,Slnd,29,10,98.0,114.4,0.1451,45.5,54.4,17.3,19.1,28.4,34.9,39.2,38.7,45.5,54.9,30.2,35.5,71.2,-17.9,,
2024,Dartmouth,Ivy,25,6,93.3,109.2,0.1397,47.6,54.2,19.4,13.4,20.7,24.5,27.8,24.4,48.2,53.2,31.2,37.0,65.0,-15.8,,
2024,Arkansas Pine Bluff,SWAC,27,13,100.9,118.3,0.1374,51.5,52.6,18.0,15.4,22.9,34.0,40.2,32.5,48.4,56.0,36.5,31.4,71.9,-13.3,,
2024,UT Rio Grande Valley,WAC,29,6,94.4,110.9,0.1365,45.1,53.1,19.0,18.9,24.3,33.4,41.2,34.4,45.8,54.2,29.0,33.9,71.2,-19.3,,
2024,Alabama A&M,SWAC,33,11,92.1,108.3,0.1347,45.5,49.2,22.5,19.8,31.7,32.7,47.9,46.3,46.6,46.7,28.5,35.7,70.3,-17.6,,
2024,Morgan St.,MEAC,28,11,96.5,113.6,0.1334,47.4,52.0,20.2,18.2,29.5,37.2,31.3,41.4,49.3,51.6,28.2,35.3,70.6,-15.4,,
2024,Manhattan,MAAC,29,7,94.9,111.7,0.1322,47.2,53.1,19.2,16.9,24.8,30.1,22.1,27.3,47.4,52.2,31.3,36.7,68.3,-18.3,,
2024,Central Arkansas,ASun,30,9,96.4,113.6,0.1308,47.5,54.0,18.1,15.4,28.3,31.4,29.3,33.7,45.2,51.9,34.2,37.9,69.1,-18.9,,
2024,Fairleigh Dickinson,NEC,30,15,95.5,112.7,0.1294,47.1,52.9,17.2,19.0,27.8,31.2,34.9,32.0,46.7,52.4,31.8,35.7,72.2,-13.8,,
2024,Texas A&M Commerce,Slnd,30,13,94.3,111.4,0.1281,46.0,52.4,16.7,18.3,24.3,33.1,30.8,39.2,47.6,52.4,29.4,35.0,66.1,-13.9,,
2024,Cal Poly,BW,31,4,93.5,111.5,0.1162,46.0,51.5,18.6,17.3,24.3,33.6,31.3,41.9,44.1,50.8,33.0,35.6,65.7,-23.2,,
2024,LIU Brooklyn,NEC,29,7,92.8,111.2,0.1117,46.4,50.8,20.1,15.8,25.5,28.5,31.5,41.1,46.3,53.0,31.0,31.1,70.3,-18.3,,
2024,North Carolina A&T,CAA,32,7,94.9,113.6,0.1113,43.9,54.5,13.8,15.9,24.3,34.0,34.0,29.5,44.4,55.5,28.7,35.2,67.9,-19.0,,
2024,Loyola MD,Pat,31,7,93.5,112.1,0.1109,47.2,53.3,20.4,15.6,29.2,26.4,30.0,32.6,46.1,53.3,32.7,35.6,65.7,-20.8,,
2024,Buffalo,MAC,30,4,94.8,114.0,0.1076,47.3,53.9,20.0,15.1,28.3,30.6,26.0,28.7,51.6,53.5,27.5,36.5,68.9,-22.0,,
